城市	采矿业	电力、热力、燃气及水生产和供应业	房地产业	建筑业	交通运输、仓储和邮政业	教育	金融业	居民服务、修理和其他服务业	科学研究和技术服务业	农、林、牧、渔业	批发和零售业	其他	水利、环境和公共设施管理业	卫生和社会工作	文化、体育和娱乐业	信息传输、软件和信息技术服务业	制造业	住宿和餐饮业	租赁和商务服务业
保亭	1000		4368	6647	3000	13750	9500					7941		10125		5450	7000		10857
武汉	5419	6126	6303	6573	5876	5227	7304	5864	6313	5417	5164	5607	5888	7017	5024	6036	5172	5146	5267
池州	4690		10803	9451	7839	4476	6883	5000		8714	3000	8601	3000	9268	7147	5920	8289	5697	4217
襄阳	1000	3000	7818	7111	6934	4068	7008	5434		8312	6151	6551	4000	13330	5580	5636	6810	5454	5527
开封	8824	3000	6010	6124	8170	5196	7841	5475	5500	5076	7378	7327	3000	10005	5312	6125	7372	8633	7698
马来西亚	17500			17750		12500										15363	5000		
内江		3000	5655	19345	6640	4414	5440	6000	3588	5000	9000	7057		9437	8555	5630	9410	7942	6815
余姚	1000	6666	7615	8416	6582	5364	10239	5666				7842		15595	11708	6510	7121	8595	3461
萍乡	5000	3000	4885	6483	7765	5165	11326	5148		4200		7044	6818	12971	5000	5497	7565	9888	3567
临沂	3818	4011	5695	5918	4828	5206	7131	5625	6377	6756	5461	5813	7401	7213	5587	5180	5857	5488	4092
淮南	1200	5000	8233	7203	8086	4311	6814	5969		3428	6142	7503		10226	4153	5969	8131	6759	4032
朝阳	3500		5895	11505	8621	6736	5956	6313		9388	6040	7042	26545	10073	2240	5180	6230	8494	8353
随州	7000		8156	6436	7834	4234	7489	5000		8663	4846	7001		14376	6000	5371	8581	10333	5690
陵水	1000		10602	13000	3000	3000	5000					7592		12500		5044	8333		23000
湘西土家族苗族自治州		3000	6727	5333	5500	9000	12500	3500		4000		6449	5000	18900		6227	5800	7000	4000
定西			3000	8882	6061	10250	6689			3000		6910	3000	12065		6329	5653	9041	3576
以色列																	5000		
克孜勒苏柯尔克孜自治州			7000	9000								6357		18200		9000	5000	7000	
临沧			5000	11027	5083	6650	7825					7842	9000	11105		4824	9745	8161	3814
吐鲁番	5000		6000	7950	17500	5344	12355					7787		12540	5000	8054	6271	7153	
金昌				10125	9108	10065	6568	3000				7872		15257		6517	7782	9150	5000
兰州	5066	3695	6305	7111	6395	5192	11303	6040	6272	6682	5105	5924	10592	8352	4014	5053	6059	9076	5036
大兴安岭		3000	35157	19133	7241	8151	6281	8250		3333		8096		20716	4500	5493	6764	7097	10000
宁夏												5000		3000					
加纳				50000	11387							11152				17500	7666		
遵义		2628	6384	9699	6664	7020	10473	3905	3000	4873	5000	6580	5000	12082	6347	6293	6860	6616	4841
泰安	3487	5509	5822	6340	6849	4877	6861	5147	5826	5579	7060	6448	17500	8452	5205	6404	6912	7256	5826
南通	7468	4739	6482	7972	5809	5215	9304	5795	4529	7430	6088	6421	11575	9387	4360	6026	6155	7537	5639
淮北	1687	5000	7023	7933	7623	5008	8101	4157	3000	5010	7000	6888		8527	3400	5126	7936	7104	3687
凉山		3500	5125	19190	7558	4291	6932	6000			9000	7548	3682	10212		5864	7252	8108	9558
西双版纳			7625	14226	4037	3885	5996	3000		5000		7130	8071	9790		4159	6562	7680	3222
金湖	5000		7585	12528	8292	6149	12110	2500				8221	5266	20111		7780	6629	11305	10225
景德镇		4200	5105	6290	7751	5448	12133	4647	17500	4500	5880	7059	7000	11298	3333	5842	7745	8653	6754
贵阳	10982	3666	6594	7582	7680	5811	8608	5199	4458	5941	5729	6063	8252	9354	4932	5658	6106	7364	5214
安哥拉		9000	9000	11666	7500					1000		9900	17500			9000	9215	11125	12457
贵港		4333	5941	6671	5504	5646	6822	3000		11111	1500	7024		15549		5667	9496	5912	3333
常州	4777	5623	5437	6822	5499	5434	8440	5445	4700	5290	6194	5939	7301	7182	6634	5763	6004	5823	6025
晋江	12500		5815	4719	5802	5086	8962	6281	12500	3000	4750	8073		15431	7277	6795	5346	4948	4057
海北藏族自治州				9000			7000					6637		17000		5800	5000	9000	
五指山	1000		5045	9723	8750	4285	26272			11662		8966		12500		5814	8049		25000
贵州				5000								4000							
荆州		3666	6431	9859	7468	4229	6758	6157		5881	5036	7499		9856	4166	5977	7597	9950	7470
扬州	10500	8190	6145	8231	5474	5096	8298	5779	3000	10287	4697	5947	7410	8675	3897	5091	5777	5974	5241
恩施	5000	3000	6893	7988	6509	4514	9089	3000	7000	9222	5666	7096		8247	5600	5224	8005	7965	7232
肇东市	5000	11191	23562	7380	5511	8739	6728	3000		3689		7470		15886	4333	6057	8744	7303	4851
林芝			9769	5321			7000					8213	7000	30843		5995	5000	7000	4852
四平	5686	3000	4286	6502	4331	4730	7846	5727	3000	11450	6418	6516	8333	9928	6777	4616	5982	6351	5110
巴西												9714					5000		7000
攀枝花	17500		6888	17959	8440	5383	10281	7500		4000		8519		9967	8555	6058	8873	8500	9500
澳门				35258	11593	11257	19866	10615		12500		13349		25000		12356	11923	21097	6032
赣州	7000		4752	4774	7025	5118	9177	4400		4052	4492	6646	7000	10383	7705	5929	6359	10017	6541
威海	4750	4282	5323	7339	5125	5353	7094	6928	6032	6471	5579	6532	13529	7850	4115	5677	6136	6194	5045
荆门	5000	5289	9803	11212	7692	3399	8289	4000	40000	6098	4896	7901	5000	13148	5906	6383	7152	7907	5750
广西														12500					
乌鲁木齐	8723	10000	7516	7916	5264	4928	7354	6242	5459	6700	6046	6265	5396	9298	4438	5999	6810	10196	5554
太仓市	5000	5078	7101	8173	6144	6632	10500	5000		6560	8200	6626	13250	10606	4578	7887	5925	9080	7755
坦桑尼亚	1540			10586	20833							11520					7945		9000
甘肃												5000							
比利时																	5000		
玉林		3000	6207	7246	6020	5575	6555	3000		4760	5857	7106	5181	12585	3210	5238	7606	6688	4803
衡阳	3000	6968	6763	7551	6946	4332	6523	3736		4172	7842	6238	6579	10606	3451	5883	7194	7610	5435
江阴	6714	6000	6738	6894	5249	5542	8795	4562	5095	5086	3800	6755	18108	13023	8567	6552	5691	7035	6135
美国			26875	25000	1500	16110	33833		17500			11508		25000	19666	6063	13750	12500	9268
红河		5000	4208	8130	7111	5704	6878	3000		3243	5235	6455	8000	9558		5135	5668	8562	3590
昌图	2777		7976	12233	13649	5751	5921			9583	9000	7527	40000	13879	5000	5644	7360	7629	11772
杭州	4790	8830	7701	7539	5757	6529	9561	6683	8747	5616	5654	6752	9960	8237	7106	8708	6268	6355	6019
临汾		3000	4676	7487	7158	5495	7664	4263		3000	4750	6681	9000	10737	3333	5833	7732	8272	3592
安徽												9000							
安达		3000	17234	21000	5228	8931	6050	4000		4600	3000	7993		14083	5000	5503	4882	7243	8750
青岛	10084	6041	6608	6251	4357	5210	8090	5543	6463	5253	5741	5402	6988	5958	5681	5517	4978	5354	4873
包头	4371	5586	6728	6725	5736	6349	7337	3410	5000	7166	4643	5863	3000	11189	6548	5688	6065	5430	6881
土耳其																25000	5000		
广元			4480	16544	7153	4684	8037	5166		5433	5952	6318		10494	9000	5433	7516	7239	8455
平顶山	3307	3000	7024	8324	7563	4910	7138	5149	7000	8416	4928	7286		7315	4739	5714	7899	7566	5414
宿松	1250		10600	4142	9125	5790	5684	6111		5000		8357		22943	4000	6359	8341	5965	6000
溧阳		3000	7992	10871	6551	5293	9915	5375		11916		7489	5571	19686		7431	6403	11764	9225
仙桃		3000	6843	6988	7362	3956	9106	3000		11166	3153	7169		10045	4777	5531	7157	4550	7633
台州	1000	5928	4609	8862	6384	6531	9999	5958			4071	7333	10217	10989	5916	6478	7091	8573	4322
通州			7666	9915	7891	5754	11650	1500		6406	12500	7701	5933	20518	6333	7065	6468	11075	7955
莱西	4333	3000	9846	7363	5457	5368	7864	15772	9000	8750	5333	7872		21288	3000	5886	7580	6783	3000
甘孜	9750		5509	16031	6805	4446	7034	6000	7000	5000		7800	3181	10473	5000	5730	6323	8717	10948
甘南			25000	11166	9233	5805	6558					7239		10270		5638	5564	9184	5000
龙岩	12500	5000	5644	5131	4460	4308	8391	6565	4800	3263	4250	7646	7000	14407	5875	5828	6442	4912	5634
庆阳	8900			8633	7882	6277	5973				7000	6835		10289		5447	6157	7741	5000
高邮	5000		6612	11072	7061	6113	10611	3000		3000		7416	5666	18627		7384	6110	6395	9891
即墨	4200	3000	7615	5563	5409	5575	7831	14357	9000	10250	4909	6955		20787	3375	5493	7575	6873	3571
中山	4000	6575	7340	7461	4549	5843	9717	3654	5921	9934	6539	6682	9133	12243	5571	6409	6224	5856	7472
保加利亚																	5000		
龙泉	1000	6636	12150	6000	8239	6115	11000	6200				10217		32592		6470	6415	8200	5000
澄迈	1000		7357	6000	3631	4960	3742			3000	3000	6758		12500		6157	4900		16000
普宁		7000	7504	12913	5565	6721	15157			6363	3000	8864		6268		7732	8699	8923	9142
黔东南苗族侗族自治州			7500	7666	7400	9000	5000					6164		8411		5000	3666	9000	
新余	4238	5000	4703	6725	7404	5981	13003	5888		4000	3000	7269	6818	13990	3666	5893	7727	9615	5000
牡丹江		3000	9896	11793	4319	5023	6661	18617		8365	6625	6888	3000	13906	6680	4708	6205	7244	4623
湖州	1000	7528	7477	8434	6136	6236	11235	5000		9727	3741	7642	9611	10024	7052	6025	6736	8567	7455
图木舒克	6857		7000	8612		5400						7195		22240	5000	9092	5418	7000	
南非			9000		9000							18767		25000		17500	5750		12500
湘潭	3000	6090	6657	9147	6941	5858	7000	3790	6375	4111	4919	6939	4090	12706	3954	6337	7202	8668	5633
三河	5000	6750	7621	8068	6764	6838	4732	6000		4154	3615	6799	25000	6903	5666	7283	6840	7251	6630
扬中	4500	5869	6971	9509	7207	5917	11571	2500		11800		7870	5153	19333		8124	6670	11718	10113
科威特																	5000		
印度尼西亚				12500	20000							12464				12500	5000		12500
阿联酋		17500		17100	5857			14764				8742				12000	10000	7000	
奥地利																	5000		
漯河	3000	3000	5377	7146	6723	4196	7208	5247	7000	7450	4928	6533	4538	8831	3000	4793	7201	6252	3653
乐山	5285	3333	6169	16294	6967	5215	7973	3250		5500	5375	6890	3000	9341	7900	6613	8035	8156	7867
淮安	11852	4592	5545	7637	5976	4516	8868	4745	3333	5732	4083	6004	5842	8916	6962	5883	5900	7500	5782
如皋		40000	7618	8954	7815	4018	10423	8275		12500	5000	7385	5142	16205	3000	6231	5981	11843	8539
乌海	6419	5307	6725	6192	5878	11177	5819	50000		3625	5363	6442		12930		5959	5428	17217	7500
桐乡	1000	5695	9600	9057	7196	5653	8733	6200	16250	3923	7400	7138		19750	3950	5305	7415	8431	4500
宜兴	5000	10822	6716	7946	6211	5081	9648	1500	5000	12500	4230	6792	5400	18973		7394	6213	8163	7089
重庆	6203	5366	7132	7670	6757	5803	7914	6908	8398	7012	6806	6294	4839	13343	5856	5932	5801	6457	5916
陵水黎族自治县			4000	12250								7400				5000	5000		
香港			16666	31493	11850	11736	14790	9218		9000		20174		23093		14237	15774	21505	19210
焦作	3000	3937	5491	5826	6482	5290	5605	5018	7000	3296	6950	6962		8975	4208	5071	6621	8602	4112
十堰	5333		7342	6300	6918	3502	6694	4120		12386	5000	8235		11228	5875	5538	8029	8993	5161
石嘴山		5000	3000	9732	6045	8199	5260		3000	7000		7854	5000	19223	3000	5414	4908	8583	3800
文山壮族苗族自治州			6000	6200	7000	7000	5000					6602		12402		3800	5500	7500	
塞浦路斯																	5000		17500
宿迁	5000	5363	7482	7731	6873	6278	8353	3700		4596	6344	6693	6350	11963	7122	5820	6247	6704	5416
合肥	8994	6127	7003	6225	6086	5150	7220	5676	5103	6645	5305	5694	6223	7800	5075	5416	5168	6473	5032
黄冈	5000	11038	5681	7024	7929	5112	8363	3000	5000	10840	5111	7081	3000	11502	7000	6251	7609	8000	6586
孝感	7000	4090	5358	6790	6451	4451	7111	4016		10246	3866	7302	4333	10365	4793	5310	6444	5096	4778
果洛	12250		3000		7000	7000	6250					10317		14120		5529	4428	9000	
成都	8655	6144	7213	7575	5461	5833	7450	5633	9597	6344	6112	6064	8467	7922	5989	6624	5401	5380	5742
海西	10500		3000	7500		4857	5000					8957	17500	13226		5479	4306	9000	
文昌	1000		5383	9083	3558	6818				7000		6790		11750	4000	6526	5078		17666
德宏傣族景颇族自治州			6000	11333	7000							9047		13409		3222	5500	9000	
绥化	5000	3000	8878	13000	5475	7237	5443	5458		4000	28100	7314		12241	6142	5414	5998	5956	5077
温州	6473	4142	7387	7526	5255	6978	8446	5886	20000	8000	8348	7070	10989	8799	6114	6372	6192	8045	7009
延安	10660	5400	4795	8844	7037	5361	9818	3300		6725	8645	7283	3153	9429	5000	6848	7224	6486	6800
晋城	6045	3738	9822	10263	7881	5010	7925	4194		3000	4316	7198	6333	12876	5170	7166	7832	15672	4234
邵阳	6666	5080	6713	6768	8293	4662	7199	4202	3000	4000	3800	7137	4454	9871	4083	6552	8212	7721	5716
鹤壁	3333	3000	5633	6914	6976	6000	6587	5310	7000	3170	9000	7870		8858	4538	4833	7291	8425	4118
桂林	5000	3000	4734	4650	5805	4139	10305	4847	3222	5213	4105	6019	5000	11908	4727	5147	6264	5103	4361
义乌	1000	6692	17734	7827	5767	7374	10000	3780		8239	3946	7222	12500	13142	5128	7489	5694	8121	6418
博尔塔拉	4000	10333		8580		4684	3000					7186		15984	5000	7263	4800	7000	3000
承德	6034	6236	5565	7410	7263	6379	6507	5000	5000	3941	3900	6582	3380	7311	5571	6371	7181	8429	5913
日照	9037	5531	5645	6595	6100	4887	7299	6386	7000	5473	5527	6806	15289	8326	4114	5663	6910	6806	5619
晋中	2718	3000	5303	7122	6991	5059	4863	3637		7456	4204	6373	9000	10830	4323	4967	5984	6776	4912
屯昌	1000		3000	5000	3000	9166	9500					7889		12500		5656	7000		25000
怀化	4000	5142	6844	8383	6150	6311	6449	4069		6636	7583	6391	4428	12148	1000	5980	8027	10329	6760
潮州	3000	7800	8024	13046	5275	6462	15940			40000	3000	9400		21149	7261	7162	8400	8535	6860
昌吉	5000	3000	6000	7622	4442	4411	9101			5703		5699	5000	11385	5000	5926	4767	5696	10069
常德	3000	5846	8138	9424	7101	5647	7342	3711		8257	7250	6424	4714	11804	3273	6086	7576	10360	4545
城阳	4333	3000	11214	6897	5746	5204	7470	9545	9000	9083	5352	6936	5000	19916	3000	6449	7475	7459	4696
许昌	4090	3000	4988	6009	5995	5380	6898	5122	5666	5479	6300	6638	5000	9160	8193	5322	9724	6503	3714
福州	7015	5156	5736	7274	4594	5519	7154	5167	5636	4889	4916	5647	6170	8282	5705	6200	5097	6086	4938
烟台	10282	5387	5918	5593	4367	5122	7490	4917	5776	4091	5061	5465	6036	7304	4117	5138	5200	5334	4716
三门	1000	6692	12150	6000	8237	6106	10882	6250			9000	9220		34338		7030	7253	8300	5000
黔南布依族苗族自治州			3333	7000	6200	6000						6282	5000	8857		5400	3730	7500	3000
抚顺	4000	4600	5330	14167	6146	4801	5180	6455		8545	4447	6264	29909	10291	5350	5922	5625	6419	5646
济南	5574	5457	6200	5667	4501	5319	7644	5597	5296	6134	5340	5435	6371	6389	4792	5638	4835	5548	4573
楚雄彝族自治州	3000		4750	9500	7000	3750					9000	6467		13517		6000	5333	6000	
海南藏族自治州				9000								7946		17000		5800	5000	9000	
广安	12500	3000	5612	11240	7223	6370	7672	6000		3823	7000	7179	7000	8979	9000	5569	7857	8596	9852
山南				8214	5000		13000			7000		9293	7000	24347		6204	5000	7000	4940
镇江	6000	5480	5513	7969	5855	5507	10869	5589	4130	7505	4090	6546	7011	9423	4266	5824	6064	5970	5907
潜江			8075	7610	7208	4652	7790	3000	5000	10588	3875	7587	3000	9803	7000	5446	7593	10312	6317
石家庄	4485	4463	6847	5650	4278	4793	6381	6189	8582	4937	5712	5337	5692	6752	4515	5044	4775	5470	4688
张家界	3000	5153	8375	9255	7862	6340	7274	4797		3800		7458	4500	15730	3956	6383	7614	6962	5625
大理白族自治州		3000	7750	6000	4200	4000	17333				5000	6349		11783	7000	5769	5200	7000	3000
尼日利亚	6500			19740	11148					12500		12899	7000	15500		11916	10112	7454	9000
肇庆	12500	4423	6833	7163	4878	4891	13065	4451	5000	14941	4600	7469	6666	18903	4687	6279	6645	4940	5091
信阳	3000	3000	6703	6160	7026	4855	6367	5328	7000	3886	7132	6928	5000	7747	5916	5861	7444	7268	4982
龙川		7333	8208	11913	4930	6630	15083			40000		10525		5695		7556	9287	9142	8222
嘉善	1000	5800	9047	5574	7289	6088	9820	6176			4040	8159		16968	3000	5974	6614	8645	14583
江苏			5000									3000				1000			
太原	7413	5506	5765	6322	6075	4975	7214	5218	4454	5275	4939	5321	6631	7402	4641	5193	5398	6880	4765
辽源	4625	3000	7077	6734	3681	6418	9640	3982	3000	6058	5756	7451		10617	9875	5712	6372	8700	7650
齐齐哈尔	5000	3000	7737	9019	5295	6371	6967	12240		5450	2772	6477		13067	5800	5690	6803	8990	5660
双鸭山	9000	3000	17638	12030	6728	7644	6194	3000		3086	5000	8541		16454	5000	5511	6739	5707	5558
苏州	7161	5606	7792	7233	5963	5726	9189	5074	7745	6244	6725	6336	11426	8028	5828	6666	6275	5462	5542
新乡	3250	3545	5982	5997	6183	4492	6339	5100	3121	4142	6532	5957	15357	8184	3609	5801	6118	6588	4466
永州	3000	5153	8773	8588	5925	4846	7593	3661		4714	3666	6735	4666	10753	3486	5585	7753	8625	4513
昌江	1000		3400	4125	3000	9714	7571					7963		12500	3000	5957	4600		25000
衢州	1000	6793	7447	6254	5799	5831	10247	7352		7411	5000	7771	10955	12216	4000	6919	6679	10148	5466
埃及																40000	5000		
盱眙			8102	13411	8987	5960	11923	3000		12500	3000	7567	5285	20546		7094	6465	11566	10590
汕头	3000	10222	11286	10824	5288	7189	15029	4875	3000	40000	3282	7594	25000	11893	4587	5737	6892	12257	5441
诸暨	1000	6666	8255	12888	5546	5870	7687	6333		3068	8040	7636		21514	5100	5889	6879	6581	3761
甘孜藏族自治州			5000	5000	5000	5000	7000					9656	3000	8958		6200	3000	9000	5000
聊城	4000	5045	6420	6527	5606	5086	6877	7689	4928	4700	4652	6386	16264	7799	4698	5714	6471	7124	5135
温岭	1000	6600	5578	5500	7688	5796	12664	6066				7848		25791	4866	5957	5761	7458	5722
和田	5000		4600	8363	17500	5482	3000			7833		6758		14759	5000	8985	6670	7000	3000
日喀则	12500			14083			14200			4710		8166	5250	20655		6133	5000	6555	4934
娄底	4833	5153	8226	10200	5096	4788	6294	3706		3500	5000	6662	4200	12916	1923	6205	8240	10279	3782
黔西南	17500	3000	13057	9858	5611	8735	12089			4142		6620	6281	13205		6814	7860	6674	4000
洛阳	5523	3465	6922	6264	6027	4767	7367	5975	6857	3913	5227	5447	3666	7329	3961	4701	5757	5819	4403
台山		7000	8171	6590	4645	6492	13916	3000		5176	3000	9169		6241	5000	6799	7996	9090	4700
防城港	3000	3000	6119	6165	6106	4654	6967	3000		11833	9000	7700	3000	17412		5046	5441	7833	3166
临高			3666	4000	3000	6200	19000	12500				7681		12500		5896	3888		25000
泰兴	5000	6250	6643	8892	6516	4199	9069	5000		8444		7236	5333	16384	9000	7233	6024	14880	10100
咸宁			4621	7006	8273	4286	7002	5666	3000	10258	4866	7432		11755	7000	5636	7991	10355	4423
盘锦	2600	3210	6485	9573	7305	5736	7047	3608		8595	5357	6841	25923	10913	7928	5333	6517	5455	5761
葫芦岛	1000		7869	15110	8084	5233	5808	16809		8944	8062	7643	40000	11854	3375	5079	7652	6046	7660
钦州		24830	6911	5447	4545	5263	6848	5000		9975		7179		13697	5000	5271	8375	7073	4636
崇左		3000	9000	11312	5188	4764	8102					8653	7000	14982	5000	5122	8958	8157	3444
西昌	3000		6103	18942	7679	5191	6696	6000	3000	5000		6873		8305	5000	6090	6916	8961	9196
江门		5518	6492	6519	4547	5771	12471	3400		13115	5888	6871	18950	11913	5178	5644	6251	5361	5327
五家渠	5000		7333	8542		5285				5000		6979		20000	5000	6795	5352	7000	
商洛	15714	3000	5214	6573	6219	4439	8002	3250		5261	6666	6972	3000	8401	4000	7207	7187	8545	7396
胶州	4200	3000	10983	5619	4988	5196	8118	10450	7000	8562	5121	7298		18825	3800	6482	5900	6508	2038
定安	1000		10461	8500	3000	7727	17000					7139		9909		5857	5444		25000
辽阳	1000	3000	4797	9219	6910	4901	5335	6916	6155	5178	5478	7083	26545	13474	8297	5242	6493	7785	5957
西平	3000	3000	6312	6980	7184	5782	6052	5732	6000	5000	17500	7967		10820	4500	5820	7917	9120	4000
国外	17181		16157	12973	11375	6575	24596	5000		10972	9000	10633	18432	13690		20265	13125	8878	12222
句容	9000		7079	8992	6431	5016	11215	2666		7812	3000	6970	5153	19180	3000	7783	5943	6894	9027
衡水	5000	5636	6113	6573	5072	6422	6921	5000	6600	5541	4272	5691	5000	10339	3800	5439	5779	8236	5257
吉安		7500	6451	5805	6813	5765	7997	4652		4200	3571	6400	6724	30892	4000	5892	6040	8845	4500
固安	5000	6214	6807	10259	7011	5439	5627	5000		4530	5000	6964		5606	5000	7148	6680	7560	6678
马鞍山	5000	4611	6025	7875	7247	4747	8587	5481	3000	6750	6000	7144	9619	9994	5322	5177	7519	6244	5500
阿尔及利亚				11333								16500				26500	9642		9656
固原			3000	8603	8139	7770	5636	3000			9000	8090		17810	3000	5719	7601	8712	3000
乌干达	7000			18976	7000							8000					6750	17500	7000
郴州	4554	5047	7006	7986	5152	4742	6780	3923		3666	7000	6292	8833	10652	1769	5089	7180	9285	5473
